from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:AMICHARAN3,StopPoint:AMICHARAN2,2,218
StopPoint:AMICHARAN3,StopPoint:AMICHARAN4,2,278
StopPoint:AMICHARAN4,StopPoint:AMICHARAN1,2,215
StopPoint:AMICHARAN4,StopPoint:AMICHARAN2,2,195
StopPoint:AMICHARAN4,StopPoint:AMICHARAN3,2,278
StopPoint:AMICTCAS1,StopPoint:AMICTCAS2,2,114
StopPoint:AMICTCAS2,StopPoint:AMICTCAS1,2,114
StopPoint:AMICTCHA1,StopPoint:AMICTCHA2,2,150
StopPoint:AMICTCHA2,StopPoint:AMICTCHA1,2,150
StopPoint:AMICTPET1,StopPoint:AMICTPET2,2,16
StopPoint:AMICTPET2,StopPoint:AMICTPET1,2,16
StopPoint:AMICLEMEN1,StopPoint:AMICLEMEN2,2,127
StopPoint:AMICLEMEN2,StopPoint:AMICLEMEN1,2,127
StopPoint:AMICAVRE1,StopPoint:AMICAVRE2,2,12
StopPoint:AMICAVRE2,StopPoint:AMICAVRE1,2,12
StopPoint:AMICLJEA1,StopPoint:AMICLJEA2,2,123
StopPoint:AMICLJEA2,StopPoint:AMICLJEA1,2,123
StopPoint:AMICOLBEN1,StopPoint:AMICOLBEN2,2,40
StopPoint:AMICOLBEN2,StopPoint:AMICOLBEN1,2,40
StopPoint:AMIFAIDH1,StopPoint:AMIFAIDH2,2,73
StopPoint:AMIFAIDH1,StopPoint:AMIROCHC1,2,320
StopPoint:AMIFAIDH1,StopPoint:AMIROCHC2,2,416
StopPoint:AMIFAIDH2,StopPoint:AMIFAIDH1,2,73
StopPoint:AMIFAIDH2,StopPoint:AMIROCHC1,2,248
StopPoint:AMIFAIDH2,StopPoint:AMIROCHC2,2,344
StopPoint:AMIROCHC1,StopPoint:AMIFAIDH1,2,320
StopPoint:AMIROCHC1,StopPoint:AMIFAIDH2,2,248
StopPoint:AMIROCHC1,StopPoint:AMIROCHC2,2,97
StopPoint:AMIROCHC2,StopPoint:AMIFAIDH1,2,416
StopPoint:AMIROCHC2,StopPoint:AMIFAIDH2,2,344
StopPoint:AMIROCHC2,StopPoint:AMIROCHC1,2,97
StopPoint:AMICSALL1,StopPoint:AMICSALL2,2,170
StopPoint:AMICSALL2,StopPoint:AMICSALL1,2,170
StopPoint:AMICESEL1,StopPoint:AMICESEL2,2,118
StopPoint:AMICESEL1,StopPoint:AMICESEL3,2,38
StopPoint:AMICESEL2,StopPoint:AMICESEL1,2,118
StopPoint:AMICESEL2,StopPoint:AMICESEL3,2,82
StopPoint:AMICESEL3,StopPoint:AMICESEL1,2,38
StopPoint:AMICESEL3,StopPoint:AMICESEL2,2,82
StopPoint:AMIMTCALN1,StopPoint:AMIMTCALN2,2,215
StopPoint:AMIMTCALN2,StopPoint:AMIMTCALN1,2,215
StopPoint:AMICJMLA1,StopPoint:AMICJMLA2,2,87
StopPoint:AMICJMLA2,StopPoint:AMICJMLA1,2,87
StopPoint:AMICETOUN1,StopPoint:AMICETOUN2,2,28
StopPoint:AMICETOUN2,StopPoint:AMICETOUN1,2,28
StopPoint:AMICMARTN1,StopPoint:AMICMARTN2,2,28
StopPoint:AMICMARTN2,StopPoint:AMICMARTN1,2,28
StopPoint:AMICOLVEN1,StopPoint:AMICOLVEN2,2,74
StopPoint:AMICOLVEN2,StopPoint:AMICOLVEN1,2,74
StopPoint:AMICONDO3,StopPoint:AMICONDO4,2,46
StopPoint:AMICONDO4,StopPoint:AMICONDO3,2,46
StopPoint:AMICROIPIE1,StopPoint:AMICROIPIE2,2,26
StopPoint:AMICROIPIE2,StopPoint:AMICROIPIE1,2,26
StopPoint:AMICXROM1,StopPoint:AMICXROM2,2,148
StopPoint:AMICXROM2,StopPoint:AMICXROM1,2,148
StopPoint:AMICIFRAN2,StopPoint:AMICIMONN1,2,660
StopPoint:AMICIFRAN2,StopPoint:AMICIMONN6,2,782
StopPoint:AMICIFRAN2,StopPoint:AMICIMONN2,2,782
StopPoint:AMICIFRAN2,StopPoint:AMICIFRAN1,2,35
StopPoint:AMIFOUIL1,StopPoint:AMIFOUIL2,2,47
StopPoint:AMIFOUIL2,StopPoint:AMIFOUIL1,2,47
StopPoint:AMIDBOUV1,StopPoint:AMIDBOUV2,2,35
StopPoint:AMIDBOUV2,StopPoint:AMIDBOUV1,2,35
StopPoint:AMIDEJEA1,StopPoint:AMIDEJEA2,2,37
StopPoint:AMIDEJEA2,StopPoint:AMIDEJEA1,2,37
StopPoint:AMIDELPEN1,StopPoint:AMIDELPEN2,2,26
StopPoint:AMIDELPEN2,StopPoint:AMIDELPEN1,2,26
StopPoint:AMIDESMO1,StopPoint:AMIDESMO2,2,5
StopPoint:AMIDESMO2,StopPoint:AMIDESMO1,2,5
StopPoint:AMIDOULL1,StopPoint:AMIDOULL2,2,36
StopPoint:AMIDOULL2,StopPoint:AMIDOULL1,2,36
StopPoint:AMIDUROU1,StopPoint:AMIDUROU2,2,212
StopPoint:AMIDUROU2,StopPoint:AMIDUROU1,2,212
StopPoint:AMIECMAU1,StopPoint:AMIECMAU2,2,89
StopPoint:AMIECMAU2,StopPoint:AMIECMAU1,2,89
StopPoint:AMIEGCIM1,StopPoint:AMIEGCIM2,2,144
StopPoint:AMIEGCIM2,StopPoint:AMIEGCIM1,2,144
StopPoint:AMIEGJEA1,StopPoint:AMIEGJEA2,2,85
StopPoint:AMIEGJEA2,StopPoint:AMIEGJEA1,2,85
StopPoint:AMIEGREN1,StopPoint:AMIEGREN2,2,90
StopPoint:AMIEGREN2,StopPoint:AMIEGREN1,2,90
StopPoint:AMIEGACHN1,StopPoint:AMIEGACHN2,2,193
StopPoint:AMIEGACHN2,StopPoint:AMIEGACHN1,2,193
StopPoint:AMIEGFIRN1,StopPoint:AMIEGFIRN2,2,32
StopPoint:AMIEGFIRN2,StopPoint:AMIEGFIRN1,2,32
StopPoint:AMIEGPIE1,StopPoint:AMIEGPIE2,2,46
StopPoint:AMIEGPIE2,StopPoint:AMIEGPIE1,2,46
StopPoint:AMIELBEU1,StopPoint:AMIELBEU2,2,18
StopPoint:AMIELBEU2,StopPoint:AMIELBEU1,2,18
StopPoint:AMIELOIMN1,StopPoint:AMIELOIMN2,2,75
StopPoint:AMIELOIMN2,StopPoint:AMIELOIMN1,2,75
StopPoint:AMITRIOL1,StopPoint:AMITRIOL2,2,63
StopPoint:AMITRIOL2,StopPoint:AMITRIOL1,2,63
StopPoint:AMIABATTN1,StopPoint:AMIABATTN2,2,82
StopPoint:AMIABATTN2,StopPoint:AMIABATTN1,2,82
StopPoint:AMIZINOR1,StopPoint:AMIZINORD,2,91
StopPoint:AMIZINORD,StopPoint:AMIZINOR1,2,91
StopPoint:AMISANTEN1,StopPoint:AMISANTEN2,2,36
StopPoint:AMISANTEN2,StopPoint:AMISANTEN1,2,36
StopPoint:AMIMAPADN1,StopPoint:AMIMAPADN2,2,19
StopPoint:AMIMAPADN2,StopPoint:AMIMAPADN1,2,19
StopPoint:AMICAGRI1,StopPoint:AMICAGRI2,2,64
StopPoint:AMICAGRI2,StopPoint:AMICAGRI1,2,64
StopPoint:AMIETOUVN1,StopPoint:AMIETOUVN2,2,5
StopPoint:AMIETOUVN2,StopPoint:AMIETOUVN1,2,5
StopPoint:AMIFGHEMN1,StopPoint:AMIFGHEMN2,2,37
StopPoint:AMIFGHEMN2,StopPoint:AMIFGHEMN1,2,37
StopPoint:AMIFENEL1,StopPoint:AMIFENEL2,2,91
StopPoint:AMIFENEL2,StopPoint:AMIFENEL1,2,91
StopPoint:AMIFLEGE1,StopPoint:AMIFLEGE2,2,21
StopPoint:AMIFLEGE2,StopPoint:AMIFLEGE1,2,21
StopPoint:AMIFORCE1,StopPoint:AMIFORCE2,2,98
